Sat1_mean;Sat2_mean;Sat3_mean;Sat4_mean;Age;Manager;LineManagerCount;qMan1;qEng1;qEng2;Talent2014;Custloyalty_mean;CustSatMean_mean;INvestMore_mean;Sex
3,60;4,00;3,40;3,60;35,00;1,00;6,00;5,00;3,00;2,00;0,00;3,40;3,65;2,60;2,00
4,00;3,00;5,00;4,00;38,00;0,00;0,00;4,00;3,00;2,00;0,00;3,00;4,00;3,00;2,00
3,40;4,20;4,60;3,40;52,00;0,00;0,00;;;;0,00;4,00;3,90;3,00;2,00
4,00;4,00;3,00;4,00;36,00;0,00;0,00;4,00;4,00;3,00;0,00;4,00;3,75;3,00;1,00
3,00;4,00;3,00;4,00;45,00;0,00;0,00;4,00;2,00;2,00;0,00;2,00;3,50;3,00;2,00
3,50;3,75;3,50;3,71;35,00;0,00;0,00;;;;0,00;3,86;3,59;2,93;2,00
2,00;4,00;4,00;2,50;;;;;;;;2,00;3,13;2,00;
2,86;3,71;3,00;3,00;35,00;0,00;0,00;;;;0,00;3,86;3,14;2,50;2,00
3,25;4,00;4,00;3,25;45,00;0,00;0,00;;;;0,00;4,00;3,63;3,25;2,00
3,73;3,91;3,73;3,67;44,00;0,00;0,00;4,00;3,00;3,00;0,00;3,89;3,80;3,25;2,00
5,00;5,00;5,00;5,00;42,00;1,00;6,00;4,00;5,00;4,00;0,00;;5,00;3,00;2,00
3,33;3,00;3,33;4,00;39,00;0,00;0,00;2,00;4,00;2,00;0,00;3,67;3,42;2,67;1,00
3,50;4,00;3,00;3,50;32,00;0,00;0,00;5,00;4,00;4,00;0,00;3,20;3,50;2,80;1,00
3,57;3,88;3,38;3,71;31,00;0,00;0,00;;;;1,00;3,71;3,66;2,86;2,00
3,00;3,50;2,50;;45,00;0,00;0,00;4,00;4,00;4,00;0,00;;3,00;;2,00
3,40;4,00;3,60;4,00;48,00;0,00;0,00;4,00;;5,00;0,00;3,33;3,65;2,33;2,00
4,20;4,00;4,00;4,00;45,00;0,00;0,00;4,00;2,00;4,00;0,00;3,60;3,90;3,00;2,00
5,00;5,00;5,00;5,00;49,00;0,00;0,00;3,00;2,00;3,00;0,00;5,00;5,00;3,00;2,00
3,00;4,00;3,00;4,00;34,00;0,00;0,00;;;;0,00;5,00;3,50;3,00;1,00
4,50;4,75;4,25;3,75;36,00;0,00;0,00;;;;0,00;4,00;4,31;3,00;2,00
3,00;3,50;3,00;2,50;41,00;1,00;4,00;4,00;4,00;;0,00;3,50;3,00;2,50;2,00
5,00;5,00;5,00;;38,00;0,00;0,00;3,00;2,00;3,00;0,00;3,00;5,00;;2,00
3,00;3,50;3,00;3,00;41,00;0,00;0,00;;;;1,00;4,00;3,13;3,00;2,00
2,00;2,00;3,00;1,33;47,00;0,00;0,00;;;;0,00;2,67;2,00;2,00;2,00
3,50;4,50;4,00;4,00;46,00;0,00;0,00;3,00;4,00;3,00;0,00;4,50;4,00;3,50;2,00
4,00;4,00;3,00;4,00;41,00;0,00;0,00;;;;0,00;5,00;3,75;4,00;2,00
4,00;4,36;3,91;4,10;43,00;0,00;0,00;;;;0,00;3,70;4,11;2,60;2,00
3,00;4,00;3,00;3,00;55,00;0,00;0,00;3,00;4,00;4,00;0,00;4,00;3,25;3,00;1,00
3,75;4,50;3,75;4,00;42,00;0,00;0,00;;;;0,00;4,33;4,05;3,33;2,00
4,00;3,75;3,75;4,33;42,00;0,00;0,00;4,00;3,00;4,00;0,00;4,25;3,85;3,00;2,00
3,50;4,33;3,17;3,75;56,00;1,00;14,00;;;;0,00;2,75;3,69;2,00;2,00
4,00;4,50;4,33;4,00;41,00;1,00;15,00;;;;0,00;4,00;4,25;3,20;2,00
3,75;4,13;3,63;3,63;59,00;0,00;0,00;;;;0,00;3,75;3,78;3,00;2,00
3,50;4,00;2,00;3,50;29,00;0,00;0,00;5,00;4,00;3,00;0,00;3,50;3,25;3,00;1,00
4,00;4,00;3,75;3,90;56,00;0,00;0,00;4,00;2,00;2,00;0,00;3,50;3,91;3,10;2,00
3,90;4,20;3,90;3,80;49,00;0,00;0,00;;;;0,00;3,60;3,95;2,90;2,00
2,75;3,75;2,75;3,50;42,00;0,00;0,00;4,00;2,00;3,00;0,00;3,50;3,19;2,75;1,00
4,50;4,50;4,50;4,00;52,00;0,00;0,00;;;;0,00;4,00;4,38;3,00;2,00
3,60;3,80;3,00;4,00;56,00;0,00;0,00;;;;0,00;3,50;3,47;3,00;1,00
3,50;4,00;3,50;4,00;52,00;0,00;0,00;4,00;4,00;3,00;0,00;3,00;3,75;2,50;2,00
3,50;4,00;3,50;3,50;32,00;0,00;0,00;;;;0,00;3,50;3,63;2,50;2,00
2,86;3,14;2,86;3,14;54,00;0,00;0,00;;;;0,00;3,86;3,00;2,50;2,00
4,00;4,00;4,00;;33,00;0,00;0,00;4,00;5,00;2,00;0,00;;4,00;;2,00
3,50;3,50;3,00;3,00;28,00;0,00;0,00;4,00;5,00;4,00;0,00;4,50;3,25;3,50;2,00
3,67;4,00;3,33;4,00;40,00;0,00;0,00;;;;0,00;4,33;3,75;3,33;2,00
3,63;4,00;3,50;3,33;29,00;0,00;0,00;4,00;3,00;4,00;0,00;3,00;3,69;3,17;1,00
3,50;4,00;3,50;4,00;42,00;0,00;0,00;;;;0,00;5,00;3,75;2,50;2,00
3,60;4,00;3,60;3,75;49,00;0,00;0,00;4,00;4,00;3,00;0,00;3,80;3,72;3,00;2,00
2,80;3,40;3,00;3,20;47,00;0,00;0,00;;;;0,00;3,67;3,10;3,17;2,00
3,00;4,00;3,00;5,00;44,00;1,00;14,00;5,00;3,00;4,00;1,00;5,00;3,75;3,00;2,00
3,50;4,00;3,33;3,25;42,00;0,00;0,00;4,00;2,00;2,00;0,00;3,00;3,58;2,50;2,00
3,00;3,33;2,33;3,50;54,00;0,00;0,00;4,00;;4,00;0,00;2,67;2,92;2,00;2,00
4,33;4,00;4,00;4,50;47,00;1,00;18,00;5,00;5,00;4,00;0,00;4,33;4,19;3,00;2,00
3,00;3,33;2,67;2,33;39,00;0,00;0,00;;;;0,00;2,67;2,83;2,33;2,00
3,13;3,62;2,86;3,00;39,00;0,00;0,00;;;;0,00;3,38;3,09;3,06;1,00
3,18;3,40;2,70;3,44;50,00;0,00;0,00;5,00;5,00;5,00;0,00;3,27;3,29;2,73;2,00
3,40;3,56;3,22;3,80;31,00;0,00;0,00;;;;0,00;3,00;3,38;2,86;2,00
2,50;3,00;3,50;3,00;52,00;0,00;0,00;;;;0,00;3,50;3,00;2,50;2,00
2,86;3,14;2,57;2,86;38,00;0,00;0,00;4,00;4,00;4,00;0,00;3,75;2,86;2,63;2,00
3,00;3,00;4,00;4,00;47,00;1,00;16,00;4,00;3,00;5,00;0,00;5,00;3,50;3,00;2,00
4,50;5,00;5,00;4,50;32,00;0,00;0,00;;;;0,00;5,00;4,75;3,00;1,00
3,40;3,80;3,60;4,50;45,00;0,00;0,00;4,00;5,00;5,00;0,00;4,00;3,60;2,00;2,00
3,13;4,00;3,13;3,86;33,00;0,00;0,00;5,00;3,00;4,00;0,00;3,57;3,47;2,57;1,00
2,50;4,00;2,25;3,33;52,00;0,00;0,00;3,00;3,00;3,00;0,00;3,00;2,69;3,00;2,00
5,00;5,00;5,00;4,50;41,00;0,00;0,00;3,00;2,00;2,00;0,00;4,50;4,88;2,50;2,00
3,55;3,64;3,37;3,56;53,00;0,00;0,00;;;;0,00;4,30;3,50;3,15;1,00
3,75;3,75;4,00;4,50;47,00;0,00;0,00;;;;0,00;3,80;4,00;2,40;2,00
3,27;3,78;3,25;3,63;38,00;0,00;0,00;5,00;1,00;1,00;0,00;4,20;3,29;2,91;2,00
3,30;3,10;3,00;2,90;30,00;0,00;0,00;;;;0,00;3,90;3,10;2,67;2,00
4,40;4,55;4,27;4,36;57,00;0,00;0,00;5,00;4,00;4,00;0,00;4,82;4,41;3,00;1,00
4,00;5,00;4,00;5,00;46,00;1,00;9,00;;;;0,00;5,00;4,50;3,00;2,00
3,42;3,80;3,40;3,60;41,00;0,00;0,00;;;;0,00;3,82;3,48;2,92;1,00
3,50;3,50;3,50;3,50;56,00;0,00;0,00;2,00;1,00;2,00;0,00;5,00;3,50;3,00;2,00
3,00;3,33;2,25;2,50;43,00;0,00;0,00;;;;0,00;2,50;2,50;2,00;1,00
3,33;4,00;3,33;2,67;48,00;1,00;8,00;3,00;3,00;3,00;0,00;3,67;3,33;2,33;2,00
3,33;3,80;3,11;3,60;28,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;3,50;3,13;1,00
2,67;3,33;3,33;4,00;41,00;0,00;0,00;;;;0,00;3,67;3,33;3,00;2,00
4,50;4,50;4,50;4,50;45,00;1,00;11,00;3,00;3,00;4,00;0,00;4,75;4,50;3,00;2,00
4,20;4,60;3,60;3,75;41,00;0,00;0,00;4,00;4,00;4,00;1,00;4,50;4,05;2,50;2,00
4,00;4,50;3,80;4,17;41,00;0,00;0,00;5,00;3,00;3,00;0,00;3,20;4,12;2,75;2,00
3,00;4,00;3,50;2,00;38,00;0,00;0,00;4,00;4,00;4,00;0,00;2,00;3,29;3,00;2,00
3,18;3,91;3,18;3,13;31,00;0,00;0,00;4,00;1,00;2,00;0,00;3,00;3,42;2,88;2,00
3,50;3,86;3,50;3,71;36,00;0,00;0,00;4,00;2,00;3,00;0,00;4,50;3,68;3,83;2,00
3,67;4,67;3,67;4,67;42,00;1,00;6,00;5,00;5,00;4,00;0,00;4,00;4,17;3,00;2,00
2,75;3,50;3,33;2,50;39,00;0,00;0,00;5,00;4,00;5,00;0,00;4,00;3,06;2,75;1,00
4,00;3,00;4,00;4,00;39,00;1,00;3,00;4,00;4,00;4,00;1,00;5,00;3,75;4,00;1,00
3,60;3,80;3,80;3,00;35,00;0,00;0,00;;;;0,00;4,20;3,55;3,50;1,00
3,50;4,00;4,00;4,00;41,00;1,00;3,00;3,00;5,00;4,00;0,00;3,50;3,88;3,00;2,00
2,50;3,50;3,00;3,75;50,00;0,00;0,00;5,00;1,00;1,00;0,00;3,75;3,19;3,00;2,00
4,00;3,83;3,33;4,00;38,00;0,00;0,00;5,00;4,00;3,00;0,00;3,17;3,58;2,33;2,00
4,75;4,71;4,50;4,63;50,00;0,00;0,00;5,00;5,00;4,00;0,00;3,75;4,66;2,75;1,00
5,00;5,00;5,00;5,00;42,00;1,00;9,00;;;;0,00;5,00;5,00;3,00;2,00
3,80;4,10;3,20;3,80;47,00;0,00;0,00;3,00;2,00;1,00;0,00;3,89;3,73;3,43;2,00
3,78;3,90;3,75;3,63;47,00;1,00;6,00;;;;0,00;3,75;3,73;2,88;2,00
4,00;4,11;3,67;4,14;46,00;0,00;0,00;4,00;4,00;2,00;0,00;4,00;4,06;2,88;2,00
3,60;4,00;3,60;4,00;44,00;1,00;8,00;4,00;3,00;2,00;0,00;2,67;3,83;2,33;2,00
3,21;3,38;2,88;3,28;44,00;0,00;0,00;;;;0,00;3,95;3,14;2,85;1,00
3,50;3,67;2,83;3,80;43,00;0,00;0,00;;;;0,00;4,50;3,36;3,20;2,00
3,20;4,00;3,80;3,40;41,00;0,00;0,00;5,00;2,00;2,00;0,00;3,80;3,60;3,00;2,00
3,78;4,00;3,22;3,89;36,00;0,00;0,00;5,00;4,00;4,00;0,00;4,22;3,72;3,29;2,00
2,57;3,29;3,00;3,14;40,00;0,00;0,00;4,00;3,00;4,00;0,00;4,00;3,00;2,71;2,00
5,00;5,00;5,00;4,00;37,00;1,00;11,00;4,00;4,00;4,00;1,00;4,00;4,75;3,00;2,00
3,25;4,25;2,25;3,67;37,00;0,00;0,00;4,00;5,00;5,00;0,00;4,00;3,29;3,00;2,00
3,20;3,80;3,70;3,11;34,00;0,00;0,00;;;;0,00;4,00;3,43;3,20;1,00
2,33;2,33;3,33;2,67;37,00;0,00;0,00;5,00;5,00;3,00;1,00;3,67;2,67;2,67;2,00
3,00;3,00;3,00;1,00;27,00;0,00;0,00;;;;0,00;4,00;2,50;3,00;2,00
3,10;3,50;3,60;3,11;40,00;0,00;0,00;3,00;4,00;2,00;0,00;3,70;3,33;3,00;2,00
3,12;3,35;2,88;3,73;50,00;0,00;0,00;;;;0,00;3,53;3,24;2,40;2,00
2,50;3,00;2,00;3,00;46,00;1,00;8,00;5,00;5,00;5,00;0,00;4,50;2,67;3,00;2,00
3,25;3,75;3,25;3,67;41,00;0,00;0,00;;;;0,00;3,00;3,52;2,33;2,00
2,56;3,11;3,11;2,89;51,00;0,00;0,00;3,00;3,00;2,00;0,00;3,78;2,92;3,00;2,00
3,40;3,40;3,60;3,80;47,00;0,00;0,00;;;;0,00;3,60;3,55;2,40;2,00
5,00;5,00;5,00;5,00;26,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;5,00;3,00;2,00
4,00;5,00;4,00;4,00;45,00;1,00;6,00;;;;0,00;3,00;4,25;3,00;2,00
3,50;3,75;4,00;3,50;51,00;0,00;0,00;;;;0,00;4,00;3,69;3,00;2,00
4,00;4,00;3,00;4,00;44,00;0,00;0,00;5,00;3,00;5,00;0,00;4,00;3,75;3,00;2,00
4,00;4,67;3,50;3,67;41,00;0,00;0,00;4,00;4,00;2,00;0,00;3,75;3,75;3,25;2,00
3,57;4,00;3,57;4,00;40,00;0,00;0,00;;;;0,00;3,60;3,73;3,00;2,00
3,75;3,76;3,76;3,36;42,00;0,00;0,00;5,00;3,00;3,00;0,00;2,56;3,75;2,30;2,00
3,25;3,40;3,60;3,20;42,00;0,00;0,00;;;;1,00;4,80;3,35;3,00;2,00
4,00;4,00;4,00;5,00;39,00;0,00;0,00;2,00;3,00;2,00;1,00;4,00;4,25;;2,00
3,25;3,50;3,17;3,14;41,00;0,00;0,00;3,00;3,00;3,00;0,00;4,38;3,27;3,13;2,00
3,00;4,00;4,00;4,00;38,00;0,00;0,00;4,00;3,00;4,00;0,00;3,00;3,75;3,00;2,00
3,50;3,50;3,50;3,50;26,00;0,00;0,00;5,00;;2,00;0,00;3,00;3,50;3,00;2,00
3,25;3,50;3,75;3,50;37,00;0,00;0,00;3,00;3,00;3,00;0,00;4,00;3,50;3,25;2,00
4,00;4,00;4,00;3,00;38,00;0,00;0,00;;;;0,00;5,00;3,75;5,00;2,00
2,00;2,33;2,00;2,67;42,00;0,00;0,00;3,00;3,00;4,00;0,00;2,67;2,25;2,33;1,00
3,33;3,33;2,33;4,00;41,00;0,00;0,00;1,00;3,00;2,00;0,00;2,00;3,14;2,50;2,00
3,50;4,50;3,50;3,00;36,00;0,00;0,00;3,00;2,00;2,00;1,00;5,00;3,63;3,00;1,00
4,75;4,50;4,75;4,75;37,00;0,00;0,00;4,00;3,00;4,00;0,00;4,75;4,69;3,00;2,00
3,00;3,50;2,50;2,00;37,00;0,00;0,00;;;;0,00;2,50;3,00;2,00;2,00
3,00;4,00;3,00;3,00;43,00;0,00;0,00;;;;0,00;2,50;3,25;2,00;2,00
3,00;2,50;2,50;3,50;35,00;0,00;0,00;;;;0,00;3,00;2,88;3,00;1,00
3,20;3,50;4,00;3,00;55,00;0,00;0,00;4,00;4,00;5,00;0,00;4,33;3,42;3,00;2,00
2,00;3,00;2,50;2,00;33,00;1,00;5,00;4,00;5,00;5,00;1,00;3,00;2,38;3,00;2,00
4,00;3,67;3,67;3,00;40,00;0,00;0,00;4,00;4,00;;0,00;4,00;3,58;3,33;1,00
3,50;4,00;4,00;3,40;43,00;0,00;0,00;4,00;3,00;4,00;0,00;4,40;3,75;3,33;2,00
4,00;4,33;4,00;3,67;35,00;0,00;0,00;4,00;4,00;4,00;0,00;4,00;4,00;3,00;2,00
3,13;3,88;3,13;3,67;36,00;0,00;0,00;;;;0,00;3,17;3,47;2,83;2,00
3,25;3,00;3,00;3,50;29,00;0,00;0,00;;;;0,00;3,25;3,13;2,67;2,00
3,40;4,00;3,40;3,75;32,00;0,00;0,00;5,00;1,00;3,00;0,00;3,40;3,65;3,33;1,00
2,00;3,00;4,00;3,00;50,00;1,00;6,00;;;;0,00;5,00;3,00;3,00;1,00
2,00;3,00;3,00;4,00;31,00;0,00;0,00;;;;1,00;3,00;3,00;2,00;2,00
4,50;4,60;4,00;4,50;48,00;0,00;0,00;4,00;4,00;3,00;0,00;3,50;4,35;3,00;2,00
3,00;3,57;3,14;3,29;40,00;0,00;0,00;;;;0,00;3,00;3,25;2,71;2,00
2,50;3,00;3,50;3,50;34,00;0,00;0,00;;;;0,00;3,50;3,13;3,00;2,00
4,00;3,00;2,00;4,00;45,00;0,00;0,00;;;;0,00;4,00;3,25;3,00;2,00
4,25;4,38;4,38;4,60;31,00;0,00;0,00;3,00;4,00;4,00;0,00;3,86;4,38;3,14;2,00
3,75;4,23;3,92;4,14;48,00;0,00;0,00;4,00;4,00;4,00;0,00;3,71;4,00;2,57;2,00
2,25;3,50;2,75;2,75;34,00;1,00;7,00;5,00;3,00;3,00;0,00;3,00;2,81;2,50;2,00
4,22;4,44;3,63;4,00;39,00;0,00;0,00;;;;0,00;3,75;4,10;3,17;2,00
3,43;3,57;3,71;3,14;40,00;0,00;0,00;;;;0,00;3,83;3,46;3,57;2,00
